Wavelength (nm),Rayleigh Length (m)
978.0,122589.56498757872
979.0,123091.73994769003
980.0,123595.45617636328
981.0,124100.71682407329
982.0,124607.52504451171
983.0,125115.88399458709
984.0,125625.79683442475
985.0,126137.26672736689
986.0,126650.29683997255
987.0,127164.89034201759
988.0,127681.05040649467
989.0,128198.7802096134
990.0,128718.0829308001
991.0,129238.96175269804
992.0,129761.41986116726
993.0,130285.46044528468
994.0,130811.08669734401
995.0,131338.30181285588
996.0,131867.1089905477
997.0,132397.51143236374
998.0,132929.51234346515
999.0,133463.11493222983
1000.0,133998.32241025264
